--------------------------------------------
ID, Registry name, Temp., RainType, Downfall
49, minecraft:deep_cold_ocean,  0.15, snow, 0.50
50, minecraft:deep_frozen_ocean,  0.00, snow, 0.50
127, minecraft:the_void,  0.50, -, 0.50
129, minecraft:sunflower_plains,  0.70, rain, 0.00
130, minecraft:desert_lakes,  0.95, -, 0.80
131, minecraft:gravelly_mountains,  0.26, rain, 0.30
132, minecraft:flower_forest,  0.80, rain, 0.40
133, minecraft:taiga_mountains,  0.21, rain, 0.80
134, minecraft:swamp_hills,  0.70, rain, 0.80
140, minecraft:ice_spikes,  0.00, snow, 0.50
149, minecraft:modified_jungle,  0.50, rain, 0.80
151, minecraft:modified_jungle_edge,  0.50, rain, 0.80
155, minecraft:tall_birch_forest,  0.60, rain, 0.60
156, minecraft:tall_birch_hills,  0.60, rain, 0.60
157, minecraft:dark_forest_hills,  0.70, rain, 0.80
158, minecraft:snowy_taiga_mountains, -0.50, snow, 0.40
160, minecraft:giant_spruce_taiga,  0.70, rain, 0.80
161, minecraft:giant_spruce_taiga_hills,  0.70, rain, 0.80
162, minecraft:modified_gravelly_mountains,  0.26, rain, 0.30
163, minecraft:shattered_savanna,  1.20, -, 0.00
164, minecraft:shattered_savanna_plateau,  2.00, -, 0.00
165, minecraft:eroded_badlands,  0.80, -, 0.00
166, minecraft:modified_wooded_badlands_plateau,  2.00, -, 0.00
167, minecraft:modified_badlands_plateau,  2.00, -, 0.00
168, minecraft:bamboo_jungle,  0.70, rain, 0.50
169, minecraft:bamboo_jungle_hills,  0.22, rain, 0.50
170, minecraft:soul_sand_valley,  2.00, -, 0.00
171, minecraft:crimson_forest,  2.00, -, 0.00
172, minecraft:warped_forest,  2.00, -, 0.00
173, minecraft:basalt_deltas,  2.00, -, 0.00
174, minecraft:dripstone_caves,  0.80, rain, 0.40
175, minecraft:lush_caves,  0.50, rain, 0.50
176, betterend:foggy_mushroomland,  1.00, -, 0.00
177, betterend:chorus_forest,  1.00, -, 0.00
178, betterend:dust_wastelands,  1.00, -, 0.00
179, betterend:megalake,  1.00, -, 0.00
180, betterend:megalake_grove,  1.00, -, 0.00
181, betterend:crystal_mountains,  1.00, -, 0.00
182, betterend:painted_mountains,  1.00, -, 0.00
183, betterend:shadow_forest,  1.00, -, 0.00
184, betterend:amber_land,  1.00, -, 0.00
185, betterend:blossoming_spires,  1.00, -, 0.00
186, betterend:sulphur_springs,  1.00, -, 0.00
187, betterend:umbrella_jungle,  1.00, -, 0.00
188, betterend:glowing_grasslands,  1.00, -, 0.00
189, betterend:dragon_graveyards,  1.00, -, 0.00
190, betterend:dry_shrubland,  1.00, -, 0.00
191, betterend:lantern_woods,  1.00, -, 0.00
192, betterend:neon_oasis,  1.00, -, 0.00
193, betterend:umbra_valley,  1.00, -, 0.00
194, betterend:ice_starfield,  0.00, -, 0.00
195, betterend:empty_end_cave,  1.00, -, 0.00
196, betterend:empty_smaragdant_cave,  1.00, -, 0.00
197, betterend:lush_smaragdant_cave,  1.00, -, 0.00
198, betterend:empty_aurora_cave,  1.00, -, 0.00
199, betterend:lush_aurora_cave,  1.00, -, 0.00
200, betterend:jade_cave,  1.00, -, 0.00
201, betternether:gravel_desert,  2.00, -, 0.00
202, betternether:nether_jungle,  2.00, -, 0.00
203, betternether:wart_forest,  2.00, -, 0.00
204, betternether:nether_grasslands,  2.00, -, 0.00
205, betternether:nether_mushroom_forest,  2.00, -, 0.00
206, betternether:nether_mushroom_forest_edge,  2.00, -, 0.00
207, betternether:wart_forest_edge,  2.00, -, 0.00
208, betternether:bone_reef,  2.00, -, 0.00
209, betternether:sulfuric_bone_reef,  2.00, -, 0.00
210, betternether:poor_nether_grasslands,  2.00, -, 0.00
211, betternether:nether_swampland,  2.00, -, 0.00
212, betternether:nether_swampland_terraces,  2.00, -, 0.00
213, betternether:magma_land,  2.00, -, 0.00
214, betternether:soul_plain,  2.00, -, 0.00
215, betternether:crimson_glowing_woods,  2.00, -, 0.00
216, betternether:old_warped_woods,  2.00, -, 0.00
217, betternether:crimson_pinewood,  2.00, -, 0.00
218, betternether:old_fungiwoods,  2.00, -, 0.00
219, betternether:flooded_deltas,  2.00, -, 0.00
220, betternether:upside_down_forest,  2.00, -, 0.00
221, betternether:old_swampland,  2.00, -, 0.00
222, desolation:charred_forest,  0.90, -, 0.10
223, desolation:charred_forest_clearing,  0.90, -, 0.10
224, desolation:charred_forest_small,  0.90, -, 0.10
225, graveyard:haunted_forest,  0.60, rain, 0.90
226, graveyard:haunted_lakes,  0.60, rain, 0.90
227, graveyard:eroded_haunted_forest,  0.40, rain, 0.40
228, appliedenergistics2:spatial_storage,  0.50, -, 0.50
--------------------------------------------
ID, Registry name, Temp., RainType, Downfall
--------------------------------------------
